"STATION","NAME","DATE","PRCP","TAVG"
"IN022023000","NEW DELHI PALAM, IN","2022-05-04",,"29.9"
"IN022023000","NEW DELHI PALAM, IN","2022-05-05",,"30.8"
"IN022023000","NEW DELHI PALAM, IN","2022-05-06",,"32.8"
"IN022023000","NEW DELHI PALAM, IN","2022-05-07",,"33.6"
"IN022023000","NEW DELHI PALAM, IN","2022-05-08",,"33.9"
"IN022023000","NEW DELHI PALAM, IN","2022-05-09",,"33.9"
"IN022023000","NEW DELHI PALAM, IN","2022-05-10",,"33.7"
"IN022023000","NEW DELHI PALAM, IN","2022-05-11",,"34.8"
"IN022023000","NEW DELHI PALAM, IN","2022-05-12",,"35.8"
"IN022023000","NEW DELHI PALAM, IN","2022-05-13",,"35.7"
"IN022023000","NEW DELHI PALAM, IN","2022-05-14",,"37.0"
"IN022023000","NEW DELHI PALAM, IN","2022-05-15",,"38.3"
"IN022023000","NEW DELHI PALAM, IN","2022-05-16",,"36.4"
"IN022023000","NEW DELHI PALAM, IN","2022-05-17",,"35.3"
"IN022023000","NEW DELHI PALAM, IN","2022-05-18","0.0","35.7"
"IN022023000","NEW DELHI PALAM, IN","2022-05-19",,"37.0"
"IN022023000","NEW DELHI PALAM, IN","2022-05-20",,"36.9"
"IN022023000","NEW DELHI PALAM, IN","2022-05-21","2.0","33.8"
"IN022023000","NEW DELHI PALAM, IN","2022-05-22","2.0","32.9"
"IN022023000","NEW DELHI PALAM, IN","2022-05-23","27.9","23.8"
"IN022023000","NEW DELHI PALAM, IN","2022-05-24","16.0","27.1"
"IN022023000","NEW DELHI PALAM, IN","2022-05-25","0.0","29.6"
"IN022023000","NEW DELHI PALAM, IN","2022-05-26",,"31.4"
"IN022023000","NEW DELHI PALAM, IN","2022-05-27",,"32.4"
"IN022023000","NEW DELHI PALAM, IN","2022-05-28",,"34.7"
"IN022023000","NEW DELHI PALAM, IN","2022-05-29",,"33.6"
"IN022023000","NEW DELHI PALAM, IN","2022-05-30","0.0","31.5"
"IN022023000","NEW DELHI PALAM, IN","2022-05-31","0.5","34.2"
"IN022023000","NEW DELHI PALAM, IN","2022-06-01","0.0","35.7"
"IN022023000","NEW DELHI PALAM, IN","2022-06-02","0.0","36.6"
"IN022023000","NEW DELHI PALAM, IN","2022-06-03",,"36.1"
"IN022023000","NEW DELHI PALAM, IN","2022-06-04",,"37.7"
"IN022023000","NEW DELHI PALAM, IN","2022-06-05",,"37.8"
"IN022023000","NEW DELHI PALAM, IN","2022-06-06",,"38.0"
"IN022023000","NEW DELHI PALAM, IN","2022-06-07",,"37.7"
"IN022023000","NEW DELHI PALAM, IN","2022-06-08",,"37.7"
"IN022023000","NEW DELHI PALAM, IN","2022-06-09",,"38.1"
"IN022023000","NEW DELHI PALAM, IN","2022-06-10",,"38.3"
"IN022023000","NEW DELHI PALAM, IN","2022-06-11",,"37.8"
"IN022023000","NEW DELHI PALAM, IN","2022-06-12",,"38.2"
"IN022023000","NEW DELHI PALAM, IN","2022-06-13",,"37.7"
"IN022023000","NEW DELHI PALAM, IN","2022-06-14",,"34.9"
"IN022023000","NEW DELHI PALAM, IN","2022-06-15",,"36.2"
"IN022023000","NEW DELHI PALAM, IN","2022-06-16","0.5","34.1"
"IN022023000","NEW DELHI PALAM, IN","2022-06-17","5.1","28.4"
"IN022023000","NEW DELHI PALAM, IN","2022-06-18","8.9","29.2"
"IN022023000","NEW DELHI PALAM, IN","2022-06-19","1.0","27.6"
"IN022023000","NEW DELHI PALAM, IN","2022-06-20","0.0","30.3"
"IN022023000","NEW DELHI PALAM, IN","2022-06-21",,"30.7"
"IN022023000","NEW DELHI PALAM, IN","2022-06-22","0.0","31.8"
"IN022023000","NEW DELHI PALAM, IN","2022-06-23",,"33.2"
"IN022023000","NEW DELHI PALAM, IN","2022-06-24",,"33.5"
"IN022023000","NEW DELHI PALAM, IN","2022-06-25",,"35.1"
"IN022023000","NEW DELHI PALAM, IN","2022-06-26",,"35.3"
"IN022023000","NEW DELHI PALAM, IN","2022-06-27",,"35.8"
"IN022023000","NEW DELHI PALAM, IN","2022-06-28",,"35.8"
"IN022023000","NEW DELHI PALAM, IN","2022-06-29",,"34.8"
"IN022023000","NEW DELHI PALAM, IN","2022-06-30","4.1","26.6"
"IN022023000","NEW DELHI PALAM, IN","2022-07-01","32.0","28.6"
"IN022023000","NEW DELHI PALAM, IN","2022-07-02","0.0","30.6"
"IN022023000","NEW DELHI PALAM, IN","2022-07-03",,"31.8"
"IN022023000","NEW DELHI PALAM, IN","2022-07-04",,"33.4"
"IN022023000","NEW DELHI PALAM, IN","2022-07-05",,"33.8"
"IN022023000","NEW DELHI PALAM, IN","2022-07-06",,"34.6"
"IN022023000","NEW DELHI PALAM, IN","2022-07-07",,"34.4"
"IN022023000","NEW DELHI PALAM, IN","2022-07-08",,"35.4"
"IN022023000","NEW DELHI PALAM, IN","2022-07-09",,"31.2"
"IN022023000","NEW DELHI PALAM, IN","2022-07-10",,"31.1"
"IN022023000","NEW DELHI PALAM, IN","2022-07-11","0.0","31.8"
"IN022023000","NEW DELHI PALAM, IN","2022-07-12","0.0","30.4"
"IN022023000","NEW DELHI PALAM, IN","2022-07-13","3.0","31.5"
"IN022023000","NEW DELHI PALAM, IN","2022-07-14","0.0","32.1"
"IN022023000","NEW DELHI PALAM, IN","2022-07-15","2.0","33.5"
"IN022023000","NEW DELHI PALAM, IN","2022-07-16","0.0","28.9"
"IN022023000","NEW DELHI PALAM, IN","2022-07-17","13.0","30.3"
"IN022023000","NEW DELHI PALAM, IN","2022-07-18","2.0","33.7"
"IN022023000","NEW DELHI PALAM, IN","2022-07-19","0.0","32.1"
"IN022023000","NEW DELHI PALAM, IN","2022-07-20","9.9","28.6"
"IN022023000","NEW DELHI PALAM, IN","2022-07-21","95.0","29.6"
"IN022023000","NEW DELHI PALAM, IN","2022-07-22","0.0","29.1"
"IN022023000","NEW DELHI PALAM, IN","2022-07-23","4.1","29.7"
"IN022023000","NEW DELHI PALAM, IN","2022-07-24","7.1","29.8"
"IN022023000","NEW DELHI PALAM, IN","2022-07-25","15.0","29.7"
"IN022023000","NEW DELHI PALAM, IN","2022-07-26","13.0","29.4"
"IN022023000","NEW DELHI PALAM, IN","2022-07-27","0.0","29.7"
"IN022023000","NEW DELHI PALAM, IN","2022-07-28",,"28.6"
"IN022023000","NEW DELHI PALAM, IN","2022-07-29",,"27.9"
"IN022023000","NEW DELHI PALAM, IN","2022-07-30",,"28.3"
"IN022023000","NEW DELHI PALAM, IN","2022-07-31","4.1","29.1"
"IN022023000","NEW DELHI PALAM, IN","2022-08-01","0.0","29.7"
"IN022023000","NEW DELHI PALAM, IN","2022-08-02",,"31.2"
"IN022023000","NEW DELHI PALAM, IN","2022-08-03",,"30.7"
"IN022023000","NEW DELHI PALAM, IN","2022-08-04","0.0","28.9"
"IN022023000","NEW DELHI PALAM, IN","2022-08-05","34.0","28.0"
"IN022023000","NEW DELHI PALAM, IN","2022-08-06","15.0","30.4"
"IN022023000","NEW DELHI PALAM, IN","2022-08-07","0.0","27.0"
"IN022023000","NEW DELHI PALAM, IN","2022-08-08","33.0","30.6"
"IN022023000","NEW DELHI PALAM, IN","2022-08-09","0.0","31.8"
"IN022023000","NEW DELHI PALAM, IN","2022-08-10","1.0","32.7"
"IN022023000","NEW DELHI PALAM, IN","2022-08-11","0.0","28.9"
"IN022023000","NEW DELHI PALAM, IN","2022-08-12",,"31.4"
"IN022023000","NEW DELHI PALAM, IN","2022-08-13",,"30.9"
"IN022023000","NEW DELHI PALAM, IN","2022-08-14",,"28.3"
"IN022023000","NEW DELHI PALAM, IN","2022-08-15",,"29.4"
"IN022023000","NEW DELHI PALAM, IN","2022-08-16","0.0","28.6"
"IN022023000","NEW DELHI PALAM, IN","2022-08-17","5.1","29.2"
"IN022023000","NEW DELHI PALAM, IN","2022-08-18","0.0","30.3"
"IN022023000","NEW DELHI PALAM, IN","2022-08-19",,"30.9"
"IN022023000","NEW DELHI PALAM, IN","2022-08-20",,"29.3"
"IN022023000","NEW DELHI PALAM, IN","2022-08-21",,"31.1"
"IN022023000","NEW DELHI PALAM, IN","2022-08-22",,"31.3"
"IN022023000","NEW DELHI PALAM, IN","2022-08-23",,"29.9"
"IN022023000","NEW DELHI PALAM, IN","2022-08-24",,"28.8"
"IN022023000","NEW DELHI PALAM, IN","2022-08-25",,"30.3"
"IN022023000","NEW DELHI PALAM, IN","2022-08-26",,"30.5"
"IN022023000","NEW DELHI PALAM, IN","2022-08-27",,"30.5"
"IN022023000","NEW DELHI PALAM, IN","2022-08-28",,"30.8"
"IN022023000","NEW DELHI PALAM, IN","2022-08-29","0.0","30.2"
"IN022023000","NEW DELHI PALAM, IN","2022-08-30","8.9","29.9"
"IN022023000","NEW DELHI PALAM, IN","2022-08-31","0.0","31.6"
"IN022023000","NEW DELHI PALAM, IN","2022-09-01",,"31.7"
"IN022023000","NEW DELHI PALAM, IN","2022-09-02",,"31.9"
"IN022023000","NEW DELHI PALAM, IN","2022-09-03",,"32.3"
"IN022023000","NEW DELHI PALAM, IN","2022-09-04",,"32.1"
"IN022023000","NEW DELHI PALAM, IN","2022-09-05",,"31.8"
"IN022023000","NEW DELHI PALAM, IN","2022-09-06",,"31.8"
"IN022023000","NEW DELHI PALAM, IN","2022-09-07",,"32.4"
"IN022023000","NEW DELHI PALAM, IN","2022-09-08",,"32.3"
"IN022023000","NEW DELHI PALAM, IN","2022-09-09",,"32.2"
"IN022023000","NEW DELHI PALAM, IN","2022-09-10",,"31.8"
"IN022023000","NEW DELHI PALAM, IN","2022-09-11",,"31.8"
